Symbol,Date,Open,High,Low,Last,Close
TATAMOTORS,6/9/2021,356.2,358.9,339.75,343.55,343.35
TATAMOTORS,6/10/2021,345.2,347.85,342.4,345.05,344.75
TATAMOTORS,6/11/2021,346,352.9,344.35,350,350.75
TATAMOTORS,6/14/2021,350.05,357.9,341.1,355.85,355.95
TATAMOTORS,6/15/2021,355.75,360.75,351.5,352,352.7
TATAMOTORS,6/16/2021,350.1,356,348.1,348.35,349.35
TATAMOTORS,6/17/2021,348.4,352.9,342.25,344.9,345.65
TATAMOTORS,6/18/2021,345.65,346.9,329,338.7,337.4
TATAMOTORS,6/21/2021,330.9,335.8,326.2,334,334.3
TATAMOTORS,6/22/2021,337.1,344.3,336.15,337.25,337.9
TATAMOTORS,6/23/2021,341,343.25,334.3,335.5,335.25
TATAMOTORS,6/24/2021,335,337.4,333.35,335.3,334.65
TATAMOTORS,6/25/2021,335.9,342.8,335.9,339.1,339.65
TATAMOTORS,6/28/2021,340.8,345,337.55,343,342.8
TATAMOTORS,6/29/2021,342.65,346.5,339.6,342.3,341.55
TATAMOTORS,6/30/2021,342,345.35,338.85,340,339.6
TATAMOTORS,7/1/2021,341.5,347.4,341.2,344.5,344.25
TATAMOTORS,7/2/2021,345.3,345.55,340.5,344.9,344.9
TATAMOTORS,7/5/2021,347.05,350.1,344,345.8,346.1
TATAMOTORS,7/6/2021,348,358.2,311.5,316.6,316.9
TATAMOTORS,7/7/2021,316,319.1,306.25,317.25,317.1
TATAMOTORS,7/8/2021,314.8,314.8,305,306.15,306.35
TATAMOTORS,7/9/2021,305.8,308.85,301.85,307.35,306.3
TATAMOTORS,7/12/2021,310.8,312,306.1,307.5,307.45
TATAMOTORS,7/13/2021,310,312.25,308.15,310.65,310.95
TATAMOTORS,7/14/2021,310,313.3,308.65,309,309.55
TATAMOTORS,7/15/2021,310.5,312.85,307.6,310.1,310.25
TATAMOTORS,7/16/2021,311.1,315.45,310.5,311.1,311.25
TATAMOTORS,7/19/2021,308.95,310.3,306,309.1,308.85
TATAMOTORS,7/20/2021,307,308,301.05,301.85,302.15
